"REF_DATE","GEO","DGUID","Selected characteristics of health care access and experiences","Indigenous group","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Total, gender","Percentage","Percent","239","units","0","v1663833852","1.1.1.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833853","1.1.1.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833854","1.1.1.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Men+","Percentage","Percent","239","units","0","v1663833855","1.1.1.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833856","1.1.1.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Men+","High 95% confidence interval","Percent","239","units","0","v1663833857","1.1.1.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Women+","Percentage","Percent","239","units","0","v1663833858","1.1.1.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833859","1.1.1.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","First Nations","Women+","High 95% confidence interval","Percent","239","units","0","v1663833860","1.1.1.3.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Total, gender","Percentage","Percent","239","units","0","v1663833861","1.1.2.1.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Total, gender","Low 95% confidence interval","Percent","239","units","0","v1663833862","1.1.2.1.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Total, gender","High 95% confidence interval","Percent","239","units","0","v1663833863","1.1.2.1.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Men+","Percentage","Percent","239","units","0","v1663833864","1.1.2.2.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Men+","Low 95% confidence interval","Percent","239","units","0","v1663833865","1.1.2.2.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Men+","High 95% confidence interval","Percent","239","units","0","v1663833866","1.1.2.2.3","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Women+","Percentage","Percent","239","units","0","v1663833867","1.1.2.3.1","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Women+","Low 95% confidence interval","Percent","239","units","0","v1663833868","1.1.2.3.2","100.0","","","","1"
"2024","Canada","2021A000011124","Total, unmet health care needs in the past 12 months","Métis","Women+","High 95% confidence interval","Percent","239","units","0","v1663833869","1.1.2.3.3","100.0","","","","1"
